-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  42.2836   Longitude -83.7307 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 267.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
1981,1,1,-7.06,-7.99,-7.52,-7.49,6.36,-4.34,-10.7,2.08,96.38,1.2
1981,1,2,-13.15,-14.47,-13.81,-13.64,6.92,-8.65,-15.57,1.16,92.25,0.41
1981,1,3,-17.31,-18.18,-17.75,-17.84,8.01,-14.19,-22.2,0.79,94.12,0.17
1981,1,4,-19.4,-19.94,-19.67,-19.68,14.54,-13.61,-28.15,0.67,96.5,0.01
1981,1,5,-13.2,-14.43,-13.81,-13.45,9.24,-8.95,-18.2,1.16,93.12,0.45
1981,1,6,-7.92,-8.93,-8.42,-8.02,7.24,-4.61,-11.85,1.95,95.62,5.91
1981,1,7,-13.2,-14.4,-13.8,-13.61,6.53,-8.74,-15.27,1.16,93.31,0.0
1981,1,8,-14.2,-15.43,-14.81,-14.93,9.71,-8.55,-18.26,1.04,92.62,0.02
1981,1,9,-12.79,-13.68,-13.24,-13.23,10.84,-7.54,-18.38,1.28,96.0,0.19
1981,1,10,-16.07,-16.94,-16.5,-16.88,9.11,-11.6,-20.71,0.92,94.25,0.0
1981,1,11,-17.17,-17.77,-17.47,-17.37,6.18,-14.37,-20.55,0.85,96.69,0.04
1981,1,12,-12.07,-13.0,-12.53,-12.31,6.56,-9.41,-15.98,1.34,96.06,0.14
1981,1,13,-8.45,-9.19,-8.81,-10.08,7.34,-4.7,-12.04,1.89,97.81,0.07
1981,1,14,-7.64,-8.77,-8.21,-8.8,8.63,-3.04,-11.68,1.95,94.38,0.2
1981,1,15,-6.93,-7.81,-7.38,-7.98,7.06,-2.7,-9.77,2.14,96.5,1.74
1981,1,16,-9.34,-10.2,-9.77,-9.68,9.63,-4.52,-14.16,1.71,97.0,0.21
1981,1,17,-11.67,-12.6,-12.13,-12.2,14.54,-5.2,-19.75,1.46,95.56,0.04
1981,1,18,-6.48,-7.24,-6.86,-7.07,9.51,-0.77,-10.28,2.26,97.5,0.01
1981,1,19,-3.96,-4.55,-4.25,-4.4,10.2,0.6,-9.6,2.81,97.62,0.0
1981,1,20,-3.21,-3.85,-3.53,-3.34,4.96,-0.45,-5.42,2.93,97.56,0.01
1981,1,21,-8.52,-9.18,-8.85,-8.66,9.44,-3.54,-12.98,1.89,98.38,0.0
1981,1,22,-3.35,-4.23,-3.79,-3.75,7.3,-0.0,-7.31,2.87,95.69,0.0
1981,1,23,-5.03,-6.14,-5.59,-5.64,7.26,-0.43,-7.68,2.44,94.62,0.0
1981,1,24,-5.38,-6.04,-5.71,-6.7,9.2,-0.67,-9.86,2.5,97.0,0.0
1981,1,25,-1.13,-2.03,-1.58,-2.24,9.78,2.46,-7.33,3.42,94.38,0.0
1981,1,26,1.31,-0.63,0.34,0.8,5.48,4.18,-1.3,3.78,87.31,0.1
1981,1,27,-1.95,-4.51,-3.23,-1.95,5.7,0.47,-5.23,2.81,84.25,0.81
1981,1,28,-5.6,-8.87,-7.24,-5.59,6.89,-2.12,-9.01,1.89,80.06,0.4
1981,1,29,-8.0,-10.49,-9.24,-7.88,8.49,-3.49,-11.99,1.65,85.19,0.18
1981,1,30,-10.45,-12.84,-11.65,-10.86,9.01,-5.36,-14.37,1.34,85.56,0.0
1981,1,31,-7.74,-10.57,-9.16,-8.29,11.66,-2.24,-13.9,1.65,81.25,0.01
1981,2,1,-2.27,-3.45,-2.87,-2.64,5.6,0.36,-5.24,3.05,92.81,13.07
1981,2,2,-9.36,-11.39,-10.38,-9.51,8.2,-5.84,-14.03,1.59,87.44,0.93
1981,2,3,-13.75,-16.13,-14.94,-13.6,2.42,-12.38,-14.8,0.98,82.94,0.14
1981,2,4,-13.92,-16.0,-14.96,-14.04,6.34,-11.93,-18.27,0.98,85.62,0.02
1981,2,5,-11.58,-13.79,-12.69,-11.67,11.09,-7.6,-18.7,1.22,85.94,0.34
1981,2,6,-7.23,-8.89,-8.06,-8.06,8.45,-3.84,-12.28,1.95,90.75,1.03
1981,2,7,-4.28,-6.06,-5.17,-4.87,12.33,0.72,-11.61,2.5,89.31,0.34
1981,2,8,-8.63,-11.08,-9.85,-9.02,7.33,-4.41,-11.74,1.59,84.69,0.27
1981,2,9,-9.27,-11.1,-10.18,-10.22,6.76,-5.66,-12.42,1.59,89.56,2.53
1981,2,10,-3.18,-3.92,-3.55,-3.8,11.52,0.53,-10.99,3.05,96.06,26.21
1981,2,11,-10.32,-11.75,-11.03,-10.48,18.37,0.38,-17.99,1.71,90.75,0.64
1981,2,12,-16.82,-17.85,-17.34,-17.13,7.49,-13.22,-20.71,0.79,93.12,0.01
1981,2,13,-12.26,-13.37,-12.81,-12.42,15.77,-4.87,-20.64,1.34,93.94,0.0
1981,2,14,-6.38,-7.65,-7.01,-7.07,12.61,0.05,-12.56,2.2,92.94,0.0
1981,2,15,-1.23,-2.9,-2.06,-2.12,7.2,1.65,-5.55,3.11,89.12,0.0
1981,2,16,2.17,1.6,1.88,1.05,5.6,5.55,-0.05,4.33,95.25,0.92
1981,2,17,2.73,2.51,2.62,2.16,10.39,9.49,-0.9,4.7,95.81,0.18
1981,2,18,6.98,7.11,7.05,6.23,10.86,13.23,2.37,6.53,97.44,0.39
1981,2,19,6.87,6.87,6.87,6.19,6.69,10.9,4.2,6.35,96.75,1.01
1981,2,20,3.53,1.7,2.62,3.53,11.62,9.62,-2.0,4.46,88.62,0.12
1981,2,21,1.84,-0.7,0.57,2.5,11.91,9.51,-2.39,3.66,85.19,2.77
1981,2,22,4.05,3.35,3.7,3.94,10.19,8.62,-1.57,5.13,95.19,6.1
1981,2,23,3.8,1.58,2.69,3.7,7.41,7.71,0.3,4.46,86.62,4.1
1981,2,24,1.6,-1.55,0.03,1.66,10.9,7.47,-3.43,3.54,81.44,0.43
1981,2,25,-0.99,-4.98,-2.99,-0.64,10.12,5.08,-5.05,2.62,77.44,0.0
1981,2,26,-1.76,-4.95,-3.35,-0.9,10.45,5.03,-5.42,2.62,82.12,0.49
1981,2,27,-0.85,-3.87,-2.36,-0.32,7.5,2.61,-4.9,2.87,81.38,1.31
1981,2,28,2.6,0.05,1.33,2.51,8.23,6.0,-2.23,3.97,84.19,1.65
1981,3,1,0.54,-2.98,-1.22,1.22,9.73,6.33,-3.4,3.11,79.94,0.07
1981,3,2,-3.03,-7.95,-5.49,-2.47,5.73,-0.67,-6.4,2.14,70.38,0.01
