-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  4.6375   Longitude -74.0823 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1790.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
1981,1,1,17.21,14.86,16.04,17.4,7.29,21.09,13.8,13.0,87.56,1.57
1981,1,2,17.61,14.06,15.83,17.7,9.16,22.7,13.55,12.33,81.94,1.46
1981,1,3,18.02,12.19,15.11,17.99,12.11,24.5,12.39,10.93,72.06,0.25
1981,1,4,18.13,11.91,15.02,17.94,11.48,24.49,13.01,10.74,70.19,0.11
1981,1,5,17.63,13.82,15.73,18.06,11.95,23.79,11.84,12.21,80.5,0.12
1981,1,6,18.55,14.78,16.66,18.61,8.19,23.15,14.97,12.94,80.69,3.01
1981,1,7,18.25,14.58,16.42,18.35,9.1,23.23,14.12,12.82,80.94,2.69
1981,1,8,17.49,14.44,15.97,17.64,7.92,22.44,14.51,12.7,84.62,6.18
1981,1,9,18.03,13.86,15.94,18.13,9.75,23.83,14.07,12.21,78.81,1.34
1981,1,10,18.02,14.01,16.01,18.4,10.26,23.74,13.49,12.33,79.56,0.8
1981,1,11,18.14,14.82,16.48,18.73,8.66,23.19,14.52,13.0,83.0,3.18
1981,1,12,17.3,13.98,15.64,17.47,7.93,21.5,13.57,12.33,82.44,2.74
1981,1,13,17.35,14.12,15.74,17.81,8.23,22.02,13.8,12.39,83.06,0.5
1981,1,14,18.04,14.06,16.05,18.22,8.23,22.9,14.67,12.33,79.38,0.05
1981,1,15,18.63,13.92,16.28,18.85,9.47,24.23,14.76,12.21,76.38,0.12
1981,1,16,18.55,13.7,16.12,18.75,10.65,24.22,13.58,12.08,75.62,0.26
1981,1,17,18.33,13.82,16.08,18.78,10.89,24.32,13.43,12.15,77.56,0.09
1981,1,18,18.29,13.59,15.94,18.89,11.0,24.45,13.45,11.96,76.88,0.02
1981,1,19,17.78,12.08,14.93,18.08,12.39,24.92,12.52,10.86,72.94,0.08
1981,1,20,17.16,10.97,14.07,17.37,13.04,24.4,11.37,10.19,70.94,0.08
1981,1,21,17.39,12.9,15.14,17.93,11.52,23.8,12.29,11.47,78.0,0.07
1981,1,22,17.3,12.11,14.7,17.73,12.29,23.96,11.67,10.93,74.38,0.14
1981,1,23,17.39,12.12,14.76,17.8,11.87,23.95,12.08,10.93,73.88,0.11
1981,1,24,17.69,11.53,14.61,18.3,12.98,24.71,11.73,10.5,70.81,0.11
1981,1,25,17.88,12.81,15.34,18.63,12.2,24.19,11.99,11.41,74.94,0.36
1981,1,26,18.06,13.85,15.95,18.68,9.09,23.02,13.94,12.15,78.44,2.06
1981,1,27,19.26,14.26,16.76,19.98,11.39,25.48,14.09,12.51,75.75,2.81
1981,1,28,18.78,15.1,16.94,19.27,7.52,23.21,15.69,13.18,81.25,0.53
1981,1,29,18.01,15.43,16.72,18.35,6.78,22.26,15.48,13.43,86.56,8.04
1981,1,30,16.98,14.59,15.79,17.2,5.42,20.15,14.73,12.7,87.12,2.23
1981,1,31,17.67,14.75,16.21,18.0,7.47,21.98,14.51,12.88,84.62,8.21
1981,2,1,17.83,14.37,16.1,17.77,7.38,22.15,14.77,12.63,82.0,10.47
1981,2,2,18.24,13.5,15.87,18.49,11.92,24.36,12.44,11.9,76.5,4.01
1981,2,3,18.07,14.42,16.25,18.3,8.2,22.6,14.4,12.63,81.12,2.83
1981,2,4,17.55,13.95,15.75,17.79,7.16,21.52,14.37,12.27,81.56,6.32
1981,2,5,17.95,12.38,15.16,18.04,9.77,23.22,13.45,11.05,72.81,3.0
