-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  3.9475   Longitude -76.9856 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 508.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
1981,1,1,22.78,20.43,21.61,23.49,6.74,26.6,19.86,15.93,87.94,0.83
1981,1,2,22.46,21.58,22.02,22.62,2.91,24.05,21.14,17.03,95.12,1.29
1981,1,3,23.47,21.48,22.48,24.03,6.34,27.35,21.01,16.97,89.62,34.86
1981,1,4,23.16,20.83,22.0,23.9,6.17,27.03,20.85,16.3,88.0,8.28
1981,1,5,22.84,20.65,21.75,23.8,6.27,26.73,20.46,16.11,88.56,3.35
1981,1,6,22.73,20.89,21.81,23.5,5.65,26.12,20.47,16.36,90.19,4.56
1981,1,7,23.09,20.94,22.01,23.94,6.38,26.97,20.59,16.42,88.81,12.22
1981,1,8,22.28,20.74,21.51,22.69,3.66,24.74,21.08,16.17,91.5,8.25
1981,1,9,22.83,20.64,21.73,23.57,6.9,27.29,20.38,16.11,88.62,0.99
1981,1,10,22.29,20.98,21.63,22.69,3.45,24.4,20.96,16.42,92.81,1.5
1981,1,11,22.43,21.32,21.87,22.76,3.57,24.51,20.93,16.78,93.94,1.83
1981,1,12,22.65,21.54,22.09,22.94,3.3,24.5,21.2,16.97,93.81,28.06
1981,1,13,22.3,20.7,21.5,22.9,4.25,25.19,20.94,16.11,91.44,11.78
1981,1,14,22.51,20.8,21.65,23.23,4.67,25.54,20.87,16.24,90.88,0.86
1981,1,15,22.64,21.2,21.92,23.12,4.39,25.17,20.78,16.6,92.19,1.09
1981,1,16,23.19,21.69,22.44,23.69,4.99,26.39,21.4,17.15,91.94,1.2
1981,1,17,23.31,21.77,22.55,23.78,4.91,26.41,21.51,17.21,91.75,0.88
