-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  29.989   Longitude 31.2925 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 135.44 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
1981,1,1,11.05,0.87,5.96,10.67,11.09,17.68,6.6,4.09,52.88,0.0
1981,1,2,10.6,2.58,6.59,10.59,10.01,16.05,6.05,4.64,58.94,0.02
1981,1,3,10.97,4.86,7.91,11.19,11.99,17.3,5.31,5.37,68.5,0.02
1981,1,4,10.76,6.14,8.45,11.2,10.57,16.85,6.28,5.86,75.31,0.17
1981,1,5,8.9,0.58,4.74,9.03,12.02,15.62,3.59,4.03,59.81,0.0
1981,1,6,9.76,0.67,5.22,9.76,12.54,16.86,4.31,4.03,54.75,0.0
1981,1,7,10.68,3.39,7.03,10.83,11.88,17.26,5.37,4.88,63.75,0.02
1981,1,8,9.28,-1.1,4.08,9.01,13.55,16.65,3.09,3.48,50.69,0.0
1981,1,9,10.87,-1.86,4.51,10.32,14.02,18.87,4.87,3.36,43.12,0.0
1981,1,10,7.82,-1.14,3.33,7.9,9.62,13.3,3.68,3.54,54.69,0.0
1981,1,11,8.23,1.93,5.08,8.46,12.12,14.87,2.75,4.39,67.56,0.0
1981,1,12,10.5,4.8,7.65,10.94,12.33,16.49,4.16,5.37,69.94,0.13
1981,1,13,11.99,5.26,8.62,11.73,11.6,18.77,7.17,5.49,66.56,0.02
1981,1,14,11.87,4.48,8.18,11.19,12.39,18.5,6.11,5.25,65.31,0.0
1981,1,15,12.41,0.3,6.35,11.56,7.37,16.55,9.18,3.91,44.06,0.1
1981,1,16,10.85,2.59,6.72,10.99,9.97,17.37,7.4,4.7,59.06,1.32
1981,1,17,9.32,-1.38,3.97,9.3,10.43,15.33,4.9,3.48,48.5,0.0
1981,1,18,9.22,0.15,4.68,9.38,12.66,16.63,3.98,3.85,54.75,0.0
1981,1,19,8.73,1.08,4.9,9.14,13.09,15.83,2.74,4.09,61.69,0.0
1981,1,20,10.48,2.37,6.43,10.55,9.62,16.33,6.71,4.58,60.0,0.0
1981,1,21,9.26,0.24,4.75,9.4,12.52,16.62,4.1,3.91,56.12,0.0
1981,1,22,11.39,-2.88,4.26,10.91,13.39,18.83,5.44,3.11,38.88,0.0
1981,1,23,9.3,-2.95,3.17,9.23,12.03,16.51,4.48,3.11,45.25,0.0
1981,1,24,9.24,-3.88,2.69,8.55,14.34,16.97,2.62,2.87,42.5,0.0
1981,1,25,10.6,-3.07,3.76,10.44,13.25,17.7,4.45,3.11,40.5,0.0
1981,1,26,10.86,4.51,7.69,11.02,9.45,15.39,5.94,5.25,67.19,0.7
1981,1,27,10.33,3.6,6.97,10.33,10.7,16.86,6.15,4.94,65.12,8.63
1981,1,28,10.03,1.1,5.56,10.01,13.23,18.13,4.9,4.09,55.94,0.0
1981,1,29,9.59,1.12,5.35,9.51,12.95,17.27,4.32,4.15,59.44,0.0
1981,1,30,7.45,-2.54,2.45,7.63,13.32,14.67,1.35,3.17,53.19,0.02
