-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  6.4126   Longitude -72.4488 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2898.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
1981,1,1,10.29,7.73,9.01,10.83,10.99,16.58,5.59,9.22,85.25,0.3
1981,1,2,9.84,5.76,7.8,10.26,12.92,17.13,4.21,8.0,78.56,0.02
1981,1,3,8.49,4.36,6.42,8.67,15.69,16.65,0.96,7.39,77.25,0.0
1981,1,4,9.4,6.65,8.03,9.8,15.07,16.74,1.67,8.67,84.38,0.01
1981,1,5,11.06,8.39,9.73,12.28,11.81,17.4,5.59,9.64,85.38,0.25
1981,1,6,11.37,9.29,10.33,12.18,8.92,16.22,7.29,10.19,87.75,0.08
1981,1,7,11.66,9.56,10.62,12.44,7.77,16.39,8.62,10.38,87.62,0.05
1981,1,8,11.32,8.76,10.04,12.3,8.44,16.15,7.72,9.83,85.69,0.1
1981,1,9,10.9,8.23,9.57,11.93,9.71,17.05,7.33,9.46,85.56,3.8
1981,1,10,11.17,8.26,9.72,12.28,10.74,17.41,6.68,9.52,84.25,0.75
1981,1,11,11.04,7.23,9.13,12.31,12.41,17.62,5.21,8.91,80.44,4.7
1981,1,12,11.23,8.71,9.97,12.35,9.88,16.79,6.9,9.83,85.94,3.07
1981,1,13,11.06,8.45,9.76,12.15,9.85,16.8,6.95,9.64,85.56,0.44
1981,1,14,10.35,7.83,9.09,11.16,11.34,16.3,4.96,9.22,85.31,0.06
1981,1,15,10.35,7.58,8.97,11.48,13.46,17.35,3.88,9.09,84.25,0.01
1981,1,16,11.07,8.08,9.58,12.08,11.48,17.55,6.08,9.4,83.12,0.0
1981,1,17,10.52,7.71,9.12,11.26,13.44,17.52,4.08,9.22,84.12,0.61
1981,1,18,10.58,6.81,8.69,11.66,14.8,18.07,3.26,8.61,80.62,0.46
1981,1,19,9.65,4.99,7.32,9.78,14.51,17.45,2.94,7.57,76.31,0.0
1981,1,20,9.43,3.9,6.66,8.81,16.32,18.04,1.72,7.08,72.12,0.0
1981,1,21,9.59,4.12,6.86,8.95,15.55,18.01,2.46,7.2,73.0,0.0
1981,1,22,9.73,3.73,6.73,9.23,15.57,17.96,2.38,6.96,71.12,0.01
1981,1,23,9.43,5.21,7.32,9.58,14.88,17.66,2.79,7.69,78.06,0.02
1981,1,24,9.59,5.94,7.77,10.69,13.43,17.0,3.58,8.18,80.56,2.16
1981,1,25,10.95,7.55,9.25,12.27,12.93,17.71,4.77,9.09,81.62,2.93
