-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  -12.0461   Longitude -76.9732 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1194.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
1981,1,1,18.07,12.76,15.41,21.07,7.36,22.37,15.01,10.74,75.12,0.79
1981,1,2,17.87,13.37,15.62,21.01,7.65,22.29,14.64,11.05,78.06,0.34
1981,1,3,17.76,13.25,15.5,19.55,6.09,21.29,15.19,10.99,77.31,0.67
1981,1,4,18.38,13.3,15.84,20.65,6.54,22.04,15.5,10.99,74.56,0.2
1981,1,5,18.64,13.11,15.87,20.83,6.79,22.4,15.61,10.93,72.81,0.03
1981,1,6,19.21,13.34,16.28,21.83,6.89,23.38,16.49,11.17,71.75,0.03
1981,1,7,18.58,13.87,16.23,21.26,5.88,22.01,16.13,11.41,76.25,0.0
1981,1,8,18.49,14.21,16.35,21.01,5.74,21.88,16.14,11.66,78.25,0.07
1981,1,9,18.65,13.95,16.3,21.08,6.59,22.46,15.87,11.47,76.88,0.04
1981,1,10,18.65,14.29,16.48,21.15,6.41,22.57,16.16,11.72,78.19,0.02
1981,1,11,18.44,13.9,16.17,20.55,5.41,21.83,16.41,11.47,77.56,0.08
1981,1,12,18.93,12.69,15.81,21.96,7.23,23.11,15.88,10.8,71.31,0.23
1981,1,13,18.02,13.48,15.76,20.88,6.65,21.59,14.94,11.17,77.69,2.23
1981,1,14,17.79,13.48,15.64,20.33,6.69,21.53,14.84,11.11,78.62,0.41
1981,1,15,18.48,13.67,16.08,20.87,7.91,22.83,14.91,11.23,76.25,0.02
1981,1,16,18.96,13.25,16.11,21.7,7.72,23.57,15.85,11.05,73.06,0.01
1981,1,17,18.66,13.87,16.26,21.53,6.99,22.99,16.0,11.41,76.38,0.0
1981,1,18,18.46,13.66,16.06,21.45,6.48,22.43,15.95,11.29,76.38,0.0
1981,1,19,18.33,13.29,15.81,21.5,7.64,22.73,15.08,11.11,76.56,0.0
1981,1,20,17.61,13.73,15.67,20.3,6.37,21.21,14.85,11.29,80.5,0.06
1981,1,21,18.43,13.92,16.17,21.5,6.57,22.12,15.55,11.47,77.56,0.1
1981,1,22,18.55,13.98,16.27,22.01,6.9,22.67,15.77,11.54,77.81,0.02
1981,1,23,18.67,13.42,16.05,22.12,7.56,23.09,15.53,11.17,75.38,0.0
1981,1,24,18.38,12.69,15.54,21.59,7.41,23.0,15.6,10.74,73.94,0.0
1981,1,25,18.48,13.19,15.83,21.05,7.28,22.65,15.37,10.99,74.25,0.0
1981,1,26,18.42,13.69,16.06,20.73,6.41,22.35,15.94,11.29,76.56,0.12
1981,1,27,18.15,14.25,16.19,20.01,5.54,21.38,15.84,11.66,80.31,0.0
1981,1,28,18.51,14.05,16.28,21.3,6.68,22.44,15.76,11.54,77.88,0.04
1981,1,29,18.76,14.47,16.62,21.58,6.44,22.58,16.15,11.84,78.62,0.03
1981,1,30,18.4,14.26,16.33,20.8,5.95,21.79,15.85,11.72,79.38,0.02
1981,1,31,17.92,14.45,16.19,20.02,5.08,21.08,16.01,11.9,82.69,2.4
1981,2,1,18.05,14.62,16.33,20.44,5.52,21.33,15.81,11.96,82.62,0.54
1981,2,2,19.24,14.66,16.95,22.08,7.31,23.48,16.15,12.02,77.62,0.73
1981,2,3,18.8,15.4,17.1,21.4,6.2,22.44,16.23,12.57,82.94,4.33
1981,2,4,18.68,15.41,17.05,21.22,5.95,22.27,16.33,12.57,83.56,0.91
1981,2,5,18.73,15.11,16.92,21.19,6.62,22.54,15.91,12.39,81.88,0.0
1981,2,6,18.1,15.26,16.68,19.89,4.32,20.82,16.49,12.45,85.5,3.71
1981,2,7,18.4,15.43,16.92,20.15,4.8,21.17,16.37,12.63,85.06,0.6
1981,2,8,18.45,15.41,16.93,19.55,4.0,20.77,16.77,12.63,84.94,3.79
1981,2,9,18.7,15.22,16.96,20.11,5.59,21.79,16.19,12.51,82.81,1.47
1981,2,10,19.67,14.74,17.2,22.17,7.37,24.05,16.69,12.21,76.56,0.0
1981,2,11,19.58,15.12,17.35,22.22,7.19,23.68,16.49,12.45,78.56,0.15
1981,2,12,19.46,15.38,17.42,22.24,6.83,23.71,16.88,12.63,80.44,0.25
1981,2,13,18.94,14.93,16.94,21.17,5.76,22.57,16.81,12.33,80.56,0.01
1981,2,14,18.8,15.33,17.06,21.28,6.41,22.58,16.17,12.57,82.94,0.0
1981,2,15,18.93,15.26,17.09,21.56,6.2,22.69,16.49,12.51,81.75,0.01
1981,2,16,19.26,15.05,17.16,21.86,6.71,23.1,16.39,12.39,79.38,0.0
1981,2,17,19.01,14.81,16.91,21.55,6.42,22.71,16.29,12.21,79.5,0.0
1981,2,18,19.38,15.06,17.23,22.05,6.54,23.13,16.6,12.33,78.56,0.03
1981,2,19,18.61,15.29,16.95,20.37,5.27,21.64,16.37,12.51,83.5,0.0
1981,2,20,19.18,15.23,17.2,21.67,7.91,23.91,16.0,12.51,81.06,0.15
1981,2,21,19.36,14.87,17.12,21.73,7.3,23.74,16.44,12.27,78.25,0.01
1981,2,22,19.35,15.05,17.2,21.39,7.05,23.41,16.36,12.39,79.06,0.0
1981,2,23,19.71,15.18,17.44,22.21,7.82,24.28,16.46,12.51,78.19,0.07
1981,2,24,19.67,15.54,17.6,22.33,6.27,23.25,16.98,12.76,79.44,0.05
1981,2,25,19.65,15.15,17.4,22.21,5.19,22.75,17.56,12.45,77.31,0.3
1981,2,26,20.1,14.92,17.51,22.51,6.52,23.69,17.19,12.27,74.69,0.37
1981,2,27,20.58,14.75,17.66,22.97,7.32,24.65,17.33,12.33,73.0,0.39
1981,2,28,20.49,15.73,18.11,22.77,6.77,24.46,17.7,12.94,76.62,0.05
1981,3,1,20.87,15.51,18.19,23.3,7.09,24.9,17.8,12.82,74.06,0.51
1981,3,2,21.23,15.05,18.14,23.62,6.45,24.9,18.45,12.51,70.62,0.04
1981,3,3,21.51,14.73,18.12,23.57,6.24,25.21,18.97,12.27,68.06,0.01
1981,3,4,20.44,14.9,17.67,22.08,5.02,23.43,18.42,12.33,72.94,0.2
1981,3,5,20.01,14.8,17.4,22.02,5.09,23.28,18.2,12.21,74.38,0.03
1981,3,6,20.09,14.52,17.31,22.37,6.52,23.8,17.28,11.96,72.81,0.06
1981,3,7,19.22,14.46,16.84,20.59,4.09,21.55,17.47,11.96,76.19,0.06
1981,3,8,19.95,14.68,17.32,22.5,6.82,24.04,17.22,12.08,74.44,0.01
1981,3,9,19.76,14.83,17.3,22.18,5.97,23.12,17.15,12.08,75.38,0.08
1981,3,10,19.9,14.86,17.38,22.23,5.84,23.57,17.74,12.15,74.88,0.21
